"band" "sum" "mean" "sd" "region"
"1" "blue_median" "321.261338764615" "32.1261338764615" "4.68728179251213" "30"
"2" "blue_median_dry" "189.104078506071" "18.9104078506071" "3.42689502231478" "30"
"3" "blue_median_wet" "543.045986420368" "54.3045986420368" "3.93411351326087" "30"
"4" "blue_min" "203.757861774436" "20.3757861774436" "3.39325671578002" "30"
"5" "blue_stdDev" "83.0100486756806" "8.30100486756806" "1.94941203373714" "30"
"6" "cai_median" "720.524936715934" "72.0524936715934" "3.62066546434258" "30"
"7" "cai_median_dry" "491.260741926295" "49.1260741926295" "4.38825424983592" "30"
"8" "cai_stdDev" "284.43557835528" "28.443557835528" "3.39984938043597" "30"
"9" "cloud_amp" "104.716791563032" "10.4716791563032" "2.38975684489552" "30"
"10" "cloud_max" "222.783262182223" "22.2783262182223" "3.03698600939415" "30"
"11" "cloud_median" "278.639778785842" "27.8639778785842" "3.87475773599573" "30"
"12" "cloud_median_dry" "247.486712903667" "24.7486712903667" "2.7205754309983" "30"
"13" "cloud_median_wet" "322.841213590321" "32.2841213590321" "4.01562221308942" "30"
"14" "cloud_min" "123.381259843456" "12.3381259843456" "2.12990848126533" "30"
"15" "cloud_stdDev" "146.658327389691" "14.6658327389691" "2.2610365911429" "30"
"16" "evi2_amp" "413.601947778061" "41.3601947778061" "4.35842665437489" "30"
"17" "evi2_median" "793.529221908773" "79.3529221908773" "1.9453420900935" "30"
"18" "evi2_median_dry" "905.700213718426" "90.5700213718426" "1.09868583400207" "30"
"19" "evi2_median_wet" "741.360845247362" "74.1360845247362" "2.29181306621711" "30"
"20" "evi2_stdDev" "514.169790221631" "51.4169790221631" "4.46766651342028" "30"
"21" "gcvi_median" "787.948827462707" "78.7948827462707" "2.03361642387693" "30"
"22" "gcvi_median_dry" "847.809671259976" "84.7809671259976" "1.3955876278802" "30"
"23" "gcvi_median_wet" "729.126207073281" "72.9126207073281" "2.2967777479455" "30"
