"mtry" "ntree" "region"
"1" 21 267 30
"2" 21 260 31
"3" 22 260 21
"4" 24 273 33
"5" 24 253 34
"6" 22 233 29
"7" 23 253 14
"8" 23 260 13
"9" 21 240 7
"10" 22 220 5
"11" 22 267 2
"12" 24 260 4
"13" 23 267 1
"14" 17 260 3
"15" 19 253 28
"16" 22 247 6
"17" 24 247 8
"18" 19 267 18
"19" 21 240 15
"20" 21 260 20
"21" 15 280 19
"22" 21 247 17
"23" 20 227 22
"24" 23 240 23
"25" 24 240 26
"26" 21 240 25
"27" 23 253 24
"28" 21 233 27
"29" 24 253 37
"30" 24 240 38
"31" 20 280 36
"32" 23 253 35
"33" 23 240 32
"34" 22 253 16
"35" 23 240 9
"36" 21 220 10
"37" 23 253 12
"38" 23 267 11
