system:index,area,class_id,file,territory,year,.geo
0_0_0,3155876.5428969683,3,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1371713.7419501306,4,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,159874.30764996714,11,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,157089.46984947243,12,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,107683.26880011667,21,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,204186.4499910924,25,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,526008.7988810748,33,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2538581.9370306986,3,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,827784.6597361232,4,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,109912.77243400108,11,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,100354.96027413677,12,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1497282.8699678066,21,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,30187.96363287338,25,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,11859.931376847815,33,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,985635.5245432786,3,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4484828.83704708,4,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,49884.20716513669,11,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,238953.21837986162,12,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,342857.5730438529,21,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,46500.48442075517,25,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,11738.139864623838,33,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1481130.6319374333,3,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1216070.689775913,4,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,10401.427076985166,11,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,294331.35911470826,12,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,750977.2139690589,21,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,37528.480220451274,25,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,918.4594756004332,33,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,421315.53098441707,3,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,5325651.150065056,4,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,13179.63924303285,11,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,422621.55300695554,12,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,451663.0549138995,21,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,350821.4583895098,25,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,34491.545340697485,33,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,1422859.342253895,3,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,3230050.373299656,4,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,41705.58465913618,11,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,300231.80413528386,12,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1754248.245570065,21,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,104806.26267039316,25,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,87260.12643264055,33,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,688511.3159085171,3,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,5553367.636081004,4,CERRADO_sentinel_gapfill_freq_temporal2x_spatial_8,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
