system:index,area,class_id,file,territory,year,.geo
0_0_0,3132019.0375371138,3,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1362360.273849471,4,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,147763.78957550818,11,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,173302.6750466842,12,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,135632.20036014757,21,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,208155.43435197632,25,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,523212.07775003935,33,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2506751.1771327895,3,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,855915.4374272197,4,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,128420.58460255469,11,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,105360.72597454551,12,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1475196.8605301504,21,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,32333.250219885962,25,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,12021.112811984955,33,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1001398.3841361386,3,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4407476.123823939,4,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,62914.10572584386,11,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,267645.2167933926,12,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,353855.34111307125,21,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,55263.2605950129,25,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,11873.760668170708,33,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1496655.2644534227,3,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1205765.18562974,4,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,16393.46252459868,11,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,283762.1448802495,12,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,743410.8348810468,21,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,43795.50775943187,25,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1581.3230358284006,33,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,438342.51821476547,3,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,5260043.804445276,4,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,19415.860178358485,11,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,441162.7290384195,12,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,468716.52169032145,21,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,357836.45771026064,25,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,34236.90156782997,33,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,1417518.620988018,3,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,3217009.4316411368,4,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,47252.538951224386,11,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,315449.16228126973,12,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1744115.3079151919,21,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,112773.11337462268,25,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,87078.02388635016,33,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,701998.2163211431,3,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,5495531.371565741,4,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,55758.25349891205,11,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,518985.0657117232,12,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,676205.0156645321,21,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,645825.5422030222,25,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,3758.3153101173402,33,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,877250.1009535386,3,CERRADO_sentinel_gapfill_freq_temporal2x_stab_v88,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
