system:index,area,class_id,file,territory,year,.geo
0_0_0,3125864.492781743,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1341520.1488441278,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,182427.46615883408,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,173175.24114590022,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,141797.39432194814,21,CERRADO_sentinel_gapfill_freq_temporal2x_v9,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,176669.2373304554,25,CERRADO_sentinel_gapfill_freq_temporal2x_v9,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,540991.5078901659,33,CERRADO_sentinel_gapfill_freq_temporal2x_v9,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2500725.8586726757,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,851728.9894000527,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,136780.97516114588,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,109443.78071390738,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1481199.9162774994,21,CERRADO_sentinel_gapfill_freq_temporal2x_v9,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,24044.29759489159,25,CERRADO_sentinel_gapfill_freq_temporal2x_v9,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,12075.330891736274,33,CERRADO_sentinel_gapfill_freq_temporal2x_v9,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1001153.0189206942,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4401340.396728833,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,67094.54533867635,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,273923.0555751358,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,365301.31795534835,21,CERRADO_sentinel_gapfill_freq_temporal2x_v9,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,39630.14089331821,25,CERRADO_sentinel_gapfill_freq_temporal2x_v9,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,11983.717453586343,33,CERRADO_sentinel_gapfill_freq_temporal2x_v9,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1469589.2621810457,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1220941.6708012838,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,17882.91407851104,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,304237.11376306537,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,756287.1407995641,21,CERRADO_sentinel_gapfill_freq_temporal2x_v9,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,20833.376425407434,25,CERRADO_sentinel_gapfill_freq_temporal2x_v9,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1592.2451260826117,33,CERRADO_sentinel_gapfill_freq_temporal2x_v9,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,437381.23321559426,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,5251753.12877914,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,21099.537003826914,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,468055.88096679247,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,609705.7165027382,21,CERRADO_sentinel_gapfill_freq_temporal2x_v9,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,196558.5234182807,25,CERRADO_sentinel_gapfill_freq_temporal2x_v9,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,35200.77297560019,33,CERRADO_sentinel_gapfill_freq_temporal2x_v9,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,1421256.6011741224,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,3200127.067930041,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,53011.31187269837,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,334886.03031925653,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1782120.6873539423,21,CERRADO_sentinel_gapfill_freq_temporal2x_v9,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,62035.43129491757,25,CERRADO_sentinel_gapfill_freq_temporal2x_v9,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,87759.0691040392,33,CERRADO_sentinel_gapfill_freq_temporal2x_v9,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,695809.7943089483,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,5487670.231926487,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,66365.82774668281,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,548670.6335460986,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,873117.7966322282,21,CERRADO_sentinel_gapfill_freq_temporal2x_v9,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,422645.9903591439,25,CERRADO_sentinel_gapfill_freq_temporal2x_v9,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,3781.5057422393857,33,CERRADO_sentinel_gapfill_freq_temporal2x_v9,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,867171.1213461983,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,3433842.3809748953,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,220083.16755683225,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,1762579.4158440942,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,688766.3617202549,21,CERRADO_sentinel_gapfill_freq_temporal2x_v9,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,62627.88349336518,25,CERRADO_sentinel_gapfill_freq_temporal2x_v9,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,29846.117837577105,33,CERRADO_sentinel_gapfill_freq_temporal2x_v9,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,2206798.7960382,3,CERRADO_sentinel_gapfill_freq_temporal2x_v9,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,3486749.6091668666,4,CERRADO_sentinel_gapfill_freq_temporal2x_v9,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,3630968.8780199266,11,CERRADO_sentinel_gapfill_freq_temporal2x_v9,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,241335.97719432987,12,CERRADO_sentinel_gapfill_freq_temporal2x_v9,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
