system:index,area,class_id,file,territory,year,.geo
0_0_0,3059005.7901389142,3,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1269657.6420439521,4,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,91431.05002727853,11,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,98516.12800400329,12,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,419458.9979187625,21,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,202785.37107913202,25,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,541578.4539163715,33,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2302676.4725013752,3,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,642648.2270822993,4,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,61924.809068982686,11,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,51945.25097848105,12,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,2009917.176645429,21,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,33475.58196292833,25,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,13386.433381324332,33,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,982791.4125704509,3,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4321423.397769673,4,CERRADO_sentinel_gapfill_freq_temporal_spatial_PSEUDO_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
