system:index,area,class_id,file,territory,year,.geo
0_0_0,3147289.958498309,3,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1362503.067838725,4,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,126522.08510632937,11,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,128902.68595416185,12,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,177663.6331044328,21,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,197346.8371595398,25,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,542205.1654669116,33,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2464900.4342630864,3,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,732440.8752776703,4,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,80253.7605958942,11,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,71067.22809491435,12,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1722950.81444649,21,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,30620.999536300737,25,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,13739.83940641513,33,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,984032.4983075899,3,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4485167.727606435,4,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,44168.1355871071,11,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,226664.46526011633,12,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,365758.1014231478,21,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,41374.6010527787,25,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,13234.41432816292,33,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1475560.2375064408,3,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1174095.7170882225,4,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,6554.06048999862,11,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,267067.5341371262,12,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,835947.1520579155,21,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,31394.06675265207,25,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,741.3042409385685,33,CERRADO_sentinel_gapfill_freq_temporal_spatial_v12,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
