system:index,area,class_id,file,territory,year,.geo
0_0_0,3112900.3396405852,3,CERRADO_sentinel_gapfill_freq_v4,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1316009.4000926008,4,CERRADO_sentinel_gapfill_freq_v4,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,190758.35331740236,11,CERRADO_sentinel_gapfill_freq_v4,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,150578.77086853576,12,CERRADO_sentinel_gapfill_freq_v4,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,109100.50959722603,15,CERRADO_sentinel_gapfill_freq_v4,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,63893.99504807908,21,CERRADO_sentinel_gapfill_freq_v4,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,214990.06084899744,25,CERRADO_sentinel_gapfill_freq_v4,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,524214.0590554252,33,CERRADO_sentinel_gapfill_freq_v4,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2454059.4160994017,3,CERRADO_sentinel_gapfill_freq_v4,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,804500.7827612299,4,CERRADO_sentinel_gapfill_freq_v4,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,126328.35486967443,11,CERRADO_sentinel_gapfill_freq_v4,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,100859.31544726856,12,CERRADO_sentinel_gapfill_freq_v4,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1158789.8499503788,15,CERRADO_sentinel_gapfill_freq_v4,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,423754.01662693336,21,CERRADO_sentinel_gapfill_freq_v4,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,35075.27475482534,25,CERRADO_sentinel_gapfill_freq_v4,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,12632.13817957648,33,CERRADO_sentinel_gapfill_freq_v4,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,999554.1452346733,3,CERRADO_sentinel_gapfill_freq_v4,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4374602.596904078,4,CERRADO_sentinel_gapfill_freq_v4,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,63887.37220818702,11,CERRADO_sentinel_gapfill_freq_v4,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,267198.83214146114,12,CERRADO_sentinel_gapfill_freq_v4,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
