system:index,area,class_id,file,territory,year,.geo
0_0_0,3090076.9183526025,3,CERRADO_sentinel_gapfill_temporal_freq_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1399008.6760748266,4,CERRADO_sentinel_gapfill_temporal_freq_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,172659.0015769642,11,CERRADO_sentinel_gapfill_temporal_freq_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,170222.79485133363,12,CERRADO_sentinel_gapfill_temporal_freq_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,122848.60397418511,21,CERRADO_sentinel_gapfill_temporal_freq_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,205151.8932413816,25,CERRADO_sentinel_gapfill_temporal_freq_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,522477.6004022379,33,CERRADO_sentinel_gapfill_temporal_freq_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2498183.2778088,3,CERRADO_sentinel_gapfill_temporal_freq_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,909018.6502199529,4,CERRADO_sentinel_gapfill_temporal_freq_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,132944.20142754025,11,CERRADO_sentinel_gapfill_temporal_freq_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,107197.40965068502,12,CERRADO_sentinel_gapfill_temporal_freq_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1425838.6274769497,21,CERRADO_sentinel_gapfill_temporal_freq_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,31565.732931792358,25,CERRADO_sentinel_gapfill_temporal_freq_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
