system:index,area,class_id,file,territory,year,.geo
0_0_0,3125737.195083927,3,CERRADO_sentinel_gapfill_temporal_v8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1340419.366088206,4,CERRADO_sentinel_gapfill_temporal_v8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,180612.75410220562,11,CERRADO_sentinel_gapfill_temporal_v8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,168676.46072922728,12,CERRADO_sentinel_gapfill_temporal_v8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,135632.20036003512,21,CERRADO_sentinel_gapfill_temporal_v8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,208155.4343523717,25,CERRADO_sentinel_gapfill_temporal_v8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,523212.0777505443,33,CERRADO_sentinel_gapfill_temporal_v8,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2500684.8465002053,3,CERRADO_sentinel_gapfill_temporal_v8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,851007.2664715274,4,CERRADO_sentinel_gapfill_temporal_v8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,136580.7951503917,11,CERRADO_sentinel_gapfill_temporal_v8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,108175.01700808668,12,CERRADO_sentinel_gapfill_temporal_v8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1475196.8605268642,21,CERRADO_sentinel_gapfill_temporal_v8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,32333.250219754827,25,CERRADO_sentinel_gapfill_temporal_v8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,12021.11281190298,33,CERRADO_sentinel_gapfill_temporal_v8,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1001136.0002148717,3,CERRADO_sentinel_gapfill_temporal_v8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4399797.1664344,4,CERRADO_sentinel_gapfill_temporal_v8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,66340.24666639385,11,CERRADO_sentinel_gapfill_temporal_v8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,272160.4171590551,12,CERRADO_sentinel_gapfill_temporal_v8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,353855.3411125448,21,CERRADO_sentinel_gapfill_temporal_v8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,55263.26059498311,25,CERRADO_sentinel_gapfill_temporal_v8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,11873.760668135572,33,CERRADO_sentinel_gapfill_temporal_v8,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1469008.2783777833,3,CERRADO_sentinel_gapfill_temporal_v8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1216712.967443702,4,CERRADO_sentinel_gapfill_temporal_v8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,16349.661469983655,11,CERRADO_sentinel_gapfill_temporal_v8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,300505.15019443614,12,CERRADO_sentinel_gapfill_temporal_v8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,743410.8348787263,21,CERRADO_sentinel_gapfill_temporal_v8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,43795.5077593763,25,CERRADO_sentinel_gapfill_temporal_v8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,1581.3230358222968,33,CERRADO_sentinel_gapfill_temporal_v8,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,437367.2733906824,3,CERRADO_sentinel_gapfill_temporal_v8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,5245251.946521158,4,CERRADO_sentinel_gapfill_temporal_v8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,20913.724621891004,11,CERRADO_sentinel_gapfill_temporal_v8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,455431.96736889455,12,CERRADO_sentinel_gapfill_temporal_v8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,468716.5216922711,21,CERRADO_sentinel_gapfill_temporal_v8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,357836.45771045535,25,CERRADO_sentinel_gapfill_temporal_v8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,34236.901567953944,33,CERRADO_sentinel_gapfill_temporal_v8,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,1421129.7872357282,3,CERRADO_sentinel_gapfill_temporal_v8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,3196758.804952731,4,CERRADO_sentinel_gapfill_temporal_v8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,52877.41490188436,11,CERRADO_sentinel_gapfill_temporal_v8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,326463.74677834584,12,CERRADO_sentinel_gapfill_temporal_v8,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
