system:index,area,class_id,file,territory,year,.geo
0_0_0,3121113.02541044,3,CERRADO_sentinel_gapfill_v1,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1167389.5232436098,4,CERRADO_sentinel_gapfill_v1,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,234609.28507581697,11,CERRADO_sentinel_gapfill_v1,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,159934.31026936896,12,CERRADO_sentinel_gapfill_v1,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,162492.09506116598,15,CERRADO_sentinel_gapfill_v1,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,93141.06228563919,21,CERRADO_sentinel_gapfill_v1,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,218757.4538500159,25,CERRADO_sentinel_gapfill_v1,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_7,525008.7332721171,33,CERRADO_sentinel_gapfill_v1,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2450684.7497636015,3,CERRADO_sentinel_gapfill_v1,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,726130.5263326894,4,CERRADO_sentinel_gapfill_v1,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,129469.6063663527,11,CERRADO_sentinel_gapfill_v1,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,98667.94437485716,12,CERRADO_sentinel_gapfill_v1,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1185629.871251739,15,CERRADO_sentinel_gapfill_v1,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,476356.08199812035,21,CERRADO_sentinel_gapfill_v1,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,35984.95268967255,25,CERRADO_sentinel_gapfill_v1,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_7,13075.415925903082,33,CERRADO_sentinel_gapfill_v1,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1149488.5015482572,3,CERRADO_sentinel_gapfill_v1,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4107559.0239897952,4,CERRADO_sentinel_gapfill_v1,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,104375.02839746262,11,CERRADO_sentinel_gapfill_v1,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,290477.2874738195,12,CERRADO_sentinel_gapfill_v1,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_4,211449.8700328212,15,CERRADO_sentinel_gapfill_v1,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_5,222171.0133964536,21,CERRADO_sentinel_gapfill_v1,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_6,62214.98402752382,25,CERRADO_sentinel_gapfill_v1,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_7,12690.483995997442,33,CERRADO_sentinel_gapfill_v1,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,1377368.6803540075,3,CERRADO_sentinel_gapfill_v1,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,1197799.7873817526,4,CERRADO_sentinel_gapfill_v1,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,25526.152478968754,11,CERRADO_sentinel_gapfill_v1,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_3,299377.06536717375,12,CERRADO_sentinel_gapfill_v1,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_4,628520.9469746306,15,CERRADO_sentinel_gapfill_v1,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_5,197139.20849461487,21,CERRADO_sentinel_gapfill_v1,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_6,63477.123128645566,25,CERRADO_sentinel_gapfill_v1,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_7,2154.7589848213192,33,CERRADO_sentinel_gapfill_v1,4,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,462052.11419047567,3,CERRADO_sentinel_gapfill_v1,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,5014585.6939882105,4,CERRADO_sentinel_gapfill_v1,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_2,64552.923118797524,11,CERRADO_sentinel_gapfill_v1,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_3,473877.74166833714,12,CERRADO_sentinel_gapfill_v1,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_4,181640.5152863208,15,CERRADO_sentinel_gapfill_v1,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_5,405581.03437715676,21,CERRADO_sentinel_gapfill_v1,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_6,382963.64854784915,25,CERRADO_sentinel_gapfill_v1,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_7,34501.121682911406,33,CERRADO_sentinel_gapfill_v1,5,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,1450753.3902010466,3,CERRADO_sentinel_gapfill_v1,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,2925806.07602973,4,CERRADO_sentinel_gapfill_v1,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_2,102397.09740749214,11,CERRADO_sentinel_gapfill_v1,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_3,302467.8687878599,12,CERRADO_sentinel_gapfill_v1,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_4,1634295.0957205314,15,CERRADO_sentinel_gapfill_v1,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_5,297957.878843163,21,CERRADO_sentinel_gapfill_v1,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_6,140089.1920398696,25,CERRADO_sentinel_gapfill_v1,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_7,87429.60001276834,33,CERRADO_sentinel_gapfill_v1,6,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,706634.0466475338,3,CERRADO_sentinel_gapfill_v1,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,5298463.953539769,4,CERRADO_sentinel_gapfill_v1,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_2,185744.6460016461,11,CERRADO_sentinel_gapfill_v1,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_3,480546.4583739253,12,CERRADO_sentinel_gapfill_v1,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_4,69823.88083037686,15,CERRADO_sentinel_gapfill_v1,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_5,686953.5457597412,21,CERRADO_sentinel_gapfill_v1,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_6,665604.3847520537,25,CERRADO_sentinel_gapfill_v1,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_7,4290.864333320621,33,CERRADO_sentinel_gapfill_v1,7,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_0,883139.483519766,3,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_1,3211235.530046054,4,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_2,338510.49362627894,11,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_3,1735222.8302110354,12,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_4,343944.4375553692,15,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_5,191452.47660044656,19,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_6,187539.55156447075,21,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_7,143709.50377712748,25,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7_8,30162.14186655695,33,CERRADO_sentinel_gapfill_v1,8,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_0,2273049.293799608,3,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_1,3126407.1723091076,4,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_2,3679393.6281565283,11,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_3,275968.3126891028,12,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_4,2491281.475787917,15,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_5,182492.93579314297,19,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_6,290284.75474362745,21,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_7,178350.50185380082,25,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8_8,159295.66411187383,33,CERRADO_sentinel_gapfill_v1,9,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_0,1766350.7429671662,3,CERRADO_sentinel_gapfill_v1,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_1,3342142.369015834,4,CERRADO_sentinel_gapfill_v1,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_2,194988.34410292824,11,CERRADO_sentinel_gapfill_v1,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_3,466249.1925964952,12,CERRADO_sentinel_gapfill_v1,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_4,6135712.614119371,15,CERRADO_sentinel_gapfill_v1,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_5,171327.10442342787,19,CERRADO_sentinel_gapfill_v1,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_6,1336610.2098493965,21,CERRADO_sentinel_gapfill_v1,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9_7,183250.81010244848,25,CERRADO_sentinel_gapfill_v1,10,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
