system:index,area,class_id,file,territory,year,.geo
0_0_0,3108120.6483497745,3,mapbiomas_collection70_integration_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_1,1299140.839522963,4,mapbiomas_collection70_integration_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_2,47103.623574749516,11,mapbiomas_collection70_integration_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_3,98730.97014377627,12,mapbiomas_collection70_integration_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_4,372059.55469893577,21,mapbiomas_collection70_integration_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_5,164343.64338198685,25,mapbiomas_collection70_integration_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_0_6,169631.9578580782,33,mapbiomas_collection70_integration_v2,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,2354246.628729461,3,mapbiomas_collection70_integration_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,814211.3531830932,4,mapbiomas_collection70_integration_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_2,51945.0937122968,11,mapbiomas_collection70_integration_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_3,47011.30437717274,12,mapbiomas_collection70_integration_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_4,1807337.2609346756,21,mapbiomas_collection70_integration_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_5,26952.370925762916,25,mapbiomas_collection70_integration_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_6,14602.715288476662,33,mapbiomas_collection70_integration_v2,2,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,1202303.417718651,3,mapbiomas_collection70_integration_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,4165347.9636084647,4,mapbiomas_collection70_integration_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,30904.020202416723,11,mapbiomas_collection70_integration_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_3,239903.1749589195,12,mapbiomas_collection70_integration_v2,3,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
